nominative CM;median effective CM;sd tot CM;median day 0 CM;sd 0 CM;median day 1 CM;sd 1 CM;nominative C;median effective C;sd tot C;median day 0 C;sd 0 C;median day 1 C;sd 1 C;nominative M;median effective M;sd tot M;median day 0 M;sd 0 M;median day 1 M;sd 1 M;CM_decrease;C_decrease;M_decrease;MIT nominative;MIT median effective;MIT sd tot;MIT median day 0;MIT sd 0;MIT median day 1;MIT sd 1;MIT decrease
0.06;0.064;0.005;0.067;0.005;0.062;0.002;0.045;0.047;0.004;0.049;0.005;0.045;0.002;0.015;0.019;0.001;0.019;0.001;0.018;0.001;7.46268656716419;8.16326530612245;5.26315789473685;0.25;0.258;0.011;0.26;0.011;0.255;0.011;1.92307692307692
0.12;0.129;0.006;0.131;0.006;0.126;0.004;0.09;0.093;0.004;0.094;0.005;0.091;0.004;0.03;0.037;0.002;0.039;0.002;0.036;0.001;3.81679389312977;3.19148936170213;7.6923076923077;0.5;0.507;0.009;0.505;0.009;0.511;0.007;-1.18811881188119
0.15;0.166;0.009;0.17;0.006;0.158;0.006;0.112;0.118;0.006;0.122;0.005;0.114;0.005;0.038;0.048;0.003;0.051;0.002;0.047;0.002;7.05882352941177;6.55737704918032;7.84313725490196;0.75;0.764;0.01;0.767;0.011;0.759;0.009;1.04302477183833
0.18;0.191;0.009;0.195;0.006;0.182;0.007;0.135;0.137;0.007;0.139;0.005;0.13;0.005;0.045;0.055;0.003;0.058;0.002;0.054;0.003;6.66666666666667;6.4748201438849;6.89655172413794;1;0.993;0.027;1.012;0.012;0.969;0.015;4.24901185770751
0.24;0.248;0.009;0.253;0.008;0.244;0.007;0.18;0.177;0.007;0.18;0.007;0.175;0.006;0.06;0.075;0.003;0.076;0.002;0.072;0.002;3.55731225296443;2.77777777777778;5.26315789473685;1.25;1.255;0.034;1.291;0.018;1.233;0.012;4.49264136328426
0.3;0.305;0.007;0.311;0.007;0.303;0.007;0.225;0.219;0.007;0.222;0.006;0.217;0.007;0.075;0.092;0.002;0.092;0.002;0.09;0.002;2.57234726688103;2.25225225225225;2.17391304347826;1.5;1.52;0.026;1.531;0.016;1.495;0.025;2.35140431090789
0.36;0.37;0.012;0.376;0.011;0.366;0.014;0.27;0.265;0.011;0.269;0.01;0.261;0.012;0.09;0.112;0.003;0.112;0.003;0.112;0.003;2.65957446808511;2.97397769516729;0;1.75;1.762;0.055;1.801;0.026;1.707;0.021;5.21932259855635
0.42;0.431;0.015;0.437;0.016;0.423;0.014;0.315;0.305;0.012;0.308;0.012;0.302;0.012;0.105;0.129;0.004;0.132;0.004;0.127;0.002;3.20366132723112;1.94805194805195;3.78787878787879;2;2.038;0.026;2.054;0.022;2.03;0.024;1.1684518013632
0.5;0.519;0.014;0.52;0.016;0.519;0.012;0.375;0.37;0.011;0.369;0.012;0.371;0.009;0.125;0.155;0.004;0.156;0.004;0.154;0.004;0.192307692307692;-0.542005420054201;1.28205128205128;2.25;2.305;0.069;2.341;0.03;2.226;0.031;4.91243058522
0.6;0.595;0.016;0.608;0.015;0.585;0.012;0.45;0.424;0.013;0.43;0.013;0.416;0.009;0.15;0.179;0.006;0.181;0.006;0.176;0.004;3.78289473684211;3.25581395348837;2.76243093922652;2.75;2.759;0.048;2.715;0.034;2.78;0.044;-2.39410681399631
;;;;;;;;;;;;;;;;;;;;;;;;3;3.016;0.041;2.996;0.048;3.021;0.033;-0.834445927903869
;;;;;;;;;;;;;;;;;;;;;;;;3.25;3.283;0.04;3.296;0.048;3.278;0.033;0.546116504854363
;;;;;;;;;;;;;;;;;;;;;;;;3.75;3.827;0.146;3.685;0.05;3.955;0.051;-7.3270013568521
;;;;;;;;;;;;;;;;;;;;;;;;5;4.996;0.085;4.996;0.049;4.996;0.113;0
